Plot	SubPlot	TreeFieldNum	Genus	Species	SpeciesLong	Bark	Dawkins	DBH	SLA	LDMC	LT	LA	CC
6	2	801	Eschweilera	decolorans	E decolorans	NA	3A	34.377467707849426	80.0616	0.49260000000000004	293.8	109.66	75.098
6	2	802	Eschweilera	decolorans	E decolorans	NA	3A	35.3323973664008	103.5112	0.4798	211.4	49.23	88.1052
6	2	861	Eschweilera	decolorans	E decolorans	NA	2B	19.09859317102746	139.1572	0.3644	202.6	69.162	69.837
6	2	867	Eschweilera	sagotiana	E sagotiana	NA	4A	34.059157821665636	66.7126	0.4714	326.4	68.992	67.2394
6	2	870	Symphonia	sp.1	S sp.1	S	3A	44.88169395191453	151.0694	0.3174	129.4	14.7448	76.9468
6	2	904	Symphonia	sp.1	S sp.1	S	4A	24.03239640687622	101.591	0.3988	163.8	17.7546	94.3548
6	2	2206	Eschweilera	decolorans	E decolorans	NA	2A	11.618310845708372	131.4324	0.4572	191.6	50.217999999999996	70.2704
6	2	2812	Eschweilera	coriacea	E coriacea	NA	3A	13.528170162811117	96.2606	0.5016	202.2	44.884	76.6956
6	2	2940	Symphonia	sp.1	S sp.1	S	1A	12.414085561167848	148.933	0.3404	131.4	23.4244	45.595
6	2	2976	Symphonia	globulifera	S globulifera	S	1A	12.095775674984058	137.559	0.3288	126.6	25.06	62.9656
6	3	50	Eschweilera	decolorans	E decolorans	NA	2C	18.46197339865988	102.7002	0.457	226	69.578	66.3732
6	3	59	Symphonia	globulifera	S globulifera	SG	3B	17.825353626292294	107.34	0.3588	167	16.4782	66.516
6	3	62	Eschweilera	decolorans	E decolorans	NA	3C	27.21549526871413	92.37780000000001	0.4664	240.8	86.98	77.81439999999999
6	3	71	Eschweilera	decolorans	E decolorans	NA	4B	30.557749073643937	92.1356	0.4028	252.6	42.898	65.0582
6	3	97	Symphonia	globulifera	S globulifera	SG	4B	31.353523789103413	112.5808	0.343	174.4	15.8054	82.5472
6	3	98	Eschweilera	decolorans	E decolorans	NA	4B	40.10704565915766	87.4248	0.4242	230.2	48.61	78.0984
6	3	110	Eschweilera	decolorans	E decolorans	NA	3A	27.056340325622234	96.2064	0.4534	222.4	58.85	95.0356
6	3	208	Eschweilera	decolorans	E decolorans	NA	1B	12.573240504259745	123.9438	0.4192	212.8	67.026	79.1326
6	3	215	Eschweilera	decolorans	E decolorans	NA	4A	27.69296009798982	109.84519999999999	0.4602	215.6	47.692	75.8486
6	3	233	Eschweilera	decolorans	E decolorans	NA	4A	32.308453447654784	110.8622	0.4606	213.6	65.084	91.146
6	3	255	Eschweilera	decolorans	E decolorans	NA	4A	45.04084889500643	78.0934	0.4836	262.2	34.898	66.6666
6	3	269	Eschweilera	decolorans	E decolorans	NA	3C	41.06197531770904	77.3704	0.4128	301.2	64.764	76.5368
6	3	281	Eschweilera	decolorans	E decolorans	NA	3B	27.852115041081714	90.125	0.45539999999999997	251.6	81.278	87.7692
